1,50.000,00,6.379,23,2.754,23,3.625,00,761,25,0,00,7140.48,16/11/2019
2,47.245,77,6.379,23,2.953,92,3.425,31,719,31,0,00,7098.54,16/12/2019
3,44.291,85,6.379,23,3.168,08,3.211,15,674,34,0,00,7053.57,16/01/2020
4,41.123,77,6.379,23,3.397,76,2.981,47,626,10,0,00,7005.33,16/02/2020
5,37.726,01,6.379,23,3.644,10,2.735,13,574,37,0,00,6953.60,16/03/2020
6,34.081,91,6.379,23,3.908,30,2.470,93,518,89,0,00,6898.12,16/04/2020
7,30.173,61,6.379,23,4.191,65,2.187,58,459,39,0,00,6838.62,16/05/2020
8,25.981,96,6.379,23,4.495,54,1.883,69,395,57,0,00,6774.80,16/06/2020
9,21.486,42,6.379,23,4.821,47,1.557,76,327,12,0,00,6706.35,16/07/2020
10,16.664,95,6.379,23,5.171,03,1.208,20,253,72,0,00,6632.95,16/08/2020
11,11.493,92,6.379,23,5.545,93,833,30,174,99,0,00,6554.22,16/09/2020
12,5.947,99,6.379,23,5.947,99,431,22,90,55,0,00,6469.76,16/10/2020
